Artist,Tracks,Hours,Genres
Within the Ruins,120,8.50,metalcore|technical metalcore|progressive metal|progressive metalcore|deathcore
League of Legends,120,0.00,Unknown
CHON,119,0.80,experimental|instrumental|progressive metal|progressive rock|post-hardcore|math rock
Jack White,116,0.00,alternative rock|garage rock|rock|indie rock|art rock|garage rock revival|folk|country|blues rock|experimental rock|singer-songwriter
Revocation,115,9.30,melodic death metal|progressive metal|thrash metal|metal|american|death metal|technical death metal|technical thrash metal
Death,115,9.90,progressive metal|thrash metal|metal|american|death metal|technical death metal|progressive death metal|florida|extreme progressive metal|estados unidos
Leprous,113,3.80,alternative rock|progressive rock|progressive metal|avant-garde metal|avant-garde
Inferi,113,9.80,melotech|death metal|black metal|melodic death metal|technical/melodic/death-metal|technical death metal
Fractal Universe,113,9.00,progressive metal|metal|death metal|france|technical death metal|progressive death metal
AWOLNATION,112,0.10,synthpop|alternative rock|pop rock|awolnation
Sylvan Esso,112,0.60,electronic|indie|electropop|indietronica|spotify boycott
Vitriol,111,8.90,metal|death metal|technical death metal
Lady Gaga,110,1.80,electronic|synthpop|pop|jazz|dance|american|usa|synth-pop|electropop|disco|americana|américain|female vocals|2000s|dance-pop|adult contemporary|pop rock|europop|electro house|film soundtrack|united states|britney spears|the fame|gata rahe mera dil|2010s|art pop|edge of glory|millennial|saxx dreams|server name|industrial pop|2020s|late 2000s|nuno
Aesop Rock,108,2.10,rap|hip hop|usa|new york|hiphop|us|hip hop rnb and dance hall|alternative hip hop|experimental hip hop|abstract hip hop|conscious hip hop|east coast hip hop|instrumental hip hop
Michael Kiwanuka,108,2.20,campfire|soul
Logic,108,0.00,east coast hip hop|pop rap|dmv|rap|underground|hip hop
Kanye West,107,0.10,synthpop|pop|rap|american|hip-hop|hip hop|electropop|producer|southern hip hop|2000s|gospel|pop rap|english|rapper|us|hip hop rnb and dance hall|experimental hip hop|antisemite|nazi|grammy winner|christian hip hop|2010s|conscious hip hop|art pop|hardcore hip hop|trap|luxury rap|fascist|relic inn|progressive rap|chipmunk soul|pro trump
Gorillaz,107,0.00,trip-hop|rock|electronic|alternative rock|fictional|hip-hop|british|hip hop|uk|fictitious artist|electronica|synth-pop|electropop|producer|art rock|leftfield|trip rock|alternative hip-hop|alternative dance|uk garage|english|trip hop|parlophone|producteur|rock and indie|gorillaz|virtual band|art pop|fictitious-artist|fabloo
Carpenter Brut,106,0.60,electronic|dark wave|electro|french touch|horror|80's|synthwave|darksynth
Cryptopsy,104,7.40,metal|death metal|technical death metal|brutal death metal|deathcore|rock and indie|technical brutal death metal
Vince Staples,102,0.30,hip hop|west coast hip hop
Reliqa,98,1.20,alternative metal|australia|alt metal
The World Is Quiet Here,98,11.80,progressive metal|metal|death metal|progressive
Justice,97,0.00,rock|electronic|french|dance|house|electro|france|français|european|electro house|french touch|french house|new rave|dance and electronica|nu disco|synthwave|electro-disco|french electro
Black Crown Initiate,97,9.40,progressive metal|progressive|death metal|metal|technical death metal|progressive death metal|progressive/death-metal|deathcore
Little People,97,0.00,family|kids|toddler|children|kids children child toddler family baby|baby|child
Exocrine,97,6.30,progressive metal|death metal|technical death metal|progressive death metal
Childish Gambino,96,0.30,rap|hip hop|hiphop|neo soul|r&b|contemporary r&b|pbr&b|nuno
deadmau5,94,0.00,electronic|ambient|house|seen live|idm|electro|breakbeat|tech house|progressive house|electro house|edm|dance and electronica
Cognitive,93,5.20,Unknown
Fire Whale,92,0.80,pop|jazz|dance|american|funk|soul|disco|rnb|quiet storm|big band|hip hop rnb and dance hall|pop soul|psychedelic soul|smooth soul|september|r&b|contemporary r&b|afro pop|progressive soul
Unhallowed Deliverance,92,7.10,brutal death metal|deathcore|technical brutal death metal
Opeth,92,10.50,rock|progressive rock|swedish|melodic death metal|progressive metal|metal|death metal|sweden|clean vocals|melodic black metal|melodic|art rock|technical death metal|acoustic rock|progressive death metal|romantic|english|technical metal|dark|extreme progressive metal|rock and indie|atmospheric|black doom metal|ominous|somber|progressive melodic death metal|autumn|longing|progressive/death-metal|blackened melodic death metal|harsh vocals|technical prog metal|extreme prog|suécia
Artificial Brain,91,7.00,dissonant death metal|death metal|technical death metal
Night Verses,91,2.70,garage rock|post-hardcore|progressive rock|progressive metal|alternative rock|alternative hardcore|post-rock
The Strokes,90,0.00,rock|alternative rock|american|new wave|usa|indie rock|synth-pop|américain|garage rock revival|post-punk revival|garage rock|rock music|rock and indie|alternative rock music|garage rock music
Greylotus,90,7.40,technical death metal|deathcore
Wheel,89,1.80,alternative rock|shoegaze
Fit for an Autopsy,88,6.50,deathgrind|brutal death metal|death metal|brutal deathcore|united states|deathcore
Atomic Guava,88,5.30,Unknown
Luck Wont Save You,88,7.40,Unknown
Shadow of Intent,87,6.80,deathcore|technical deathcore|symphonic deathcore
KOAN Sound,87,0.50,electronic|drum and bass|dubstep|neurofunk|glitch hop|neurohop|halftime
Strawberry Girls,86,1.00,progressive|progressive rock|experimental|instrumental|math rock
Horrendous,86,5.90,heavy metal|progressive metal|metal|death metal|black metal|doom metal|progressive death metal|united states|technical thrash metal|progressive death
Archspire,84,5.70,death metal|canadian|canada|heavy|technical death metal|english|technical|virtuoso|complex|fast|science fiction|aggressive|manic|speedy
Sithu Aye,84,0.00,progressive metal|instrumental rock|djent|happy proggressive metal
Ed Rush & Optical,84,0.50,electronic|drum and bass|techstep|splitme
Job for a Cowboy,84,6.30,grindcore|metalcore|technical death metal|american|deathcore|death metal|metal
Veil of Maya,82,4.30,progressive deathcore|deathcore|metalcore
Kongos,81,0.00,alternative rock
Gary Clark Jr.,81,2.30,soul|blues|rock and roll|contemporary r&b|hard rock|blues rock
Nile,80,5.90,metal|american|death metal|usa|death|technical death metal|groove metal|brutal death metal|technical|south carolina|united states|energetic|mythology|aggressive|rhythmic|occult|harsh vocals|egyptian mythology
Twelve Foot Ninja,80,3.30,progressive metal|alternative rock|alternative metal|experimental
Two Fingers,80,0.00,electronic|pop|drum and bass|dubstep|dance|idm|electro|reggae|bass|techno|electronica|breakbeat|breaks|bass music|glitch|uk garage|dancehall|grime|club|garage|edm|illbient|bassline|drumstep|deep dubstep|trap|future bass|bass house|deep tech
Cynic,80,4.70,progressive rock|progressive metal|death metal|jazz metal|progressive death metal
Intervals,80,0.90,djent|math metal|instrumental|metal|progressive rock|progressive metal|progressive
City Girl,79,0.10,chillwave|instrumental hip hop|lo-fi|lo-fi hip hop|downtempo|instrumental|boom bap|hip hop
Cattle Decapitation,78,6.30,brutal death metal|technical death metal|grindcore|goregrind|death metal|deathgrind
I Built the Sky,78,1.70,Unknown
The Black Dahlia Murder,78,4.90,melodic death metal|metal|metalcore|american|death metal|deathcore|_private tag 1
VOLA,77,3.80,rock|progressive rock|progressive metal|metal|experimental|progressive|alternative metal|djent|math metal
Portugal. The Man,77,0.40,experimental|progressive|math rock|indie rock|neo-psychedelia
Dormant Ordeal,77,6.10,death metal
Baroness,76,3.30,stoner metal|sludge metal|heavy metal|metal|post-metal|progressive metal|psychedelic metal
Queen,75,1.20,rock|pop|progressive rock|70s|80s|heavy metal|90s|pop-rock|british|uk|band|hard rock|britannique|uplifting|melodic|disco|glam rock|queen family|art rock|baroque pop|fantasy|classic rock|pop rock|symphonic rock|arena rock|english|england|united kingdom|awesome|queen|film soundtrack|classic pop and rock|eclectic|queer|platinum|energetic|beholder|playful|anthemic|mainstream rock|medley|pop/rock|80's|90's|70's|rhythmic|langham 1 studio bbc|kind of magic|bombastic|glorious|sa-town anthem|server name|awe︎some|rx27
Kavinsky,75,0.00,italo house|french electro|electronic|outrun|synthpop|synth|electro house|synth-pop|synthwave|french house
Beyond Creation,75,5.80,metal|death metal|technical death metal
Radiohead,74,0.00,rock|electronic|post-rock|alternative rock|experimental|british|grunge|idm|uk|britannique|indie rock|electronica|alternative|britpop|art rock|post-grunge|experimental rock|english|chamber pop|parlophone|england|indietronica|melancholic|oxford|crossover prog|bootleg|rock and indie|britrock|electronic rock|ambient pop|c’était mieux avant|art pop|nude|trap edm|sacred cows|alternative rock music|lolicore|post-britpop|progressive rock music|1992-1998|new grave
The Zenith Passage,74,5.80,deathcore|metal|progressive death metal|technical death metal|death metal
The Beast of Nod,74,6.80,Unknown
Mogwai,74,0.40,rock|electronic|soundtrack|post-rock|instrumental|ambient|scottish|experimental|british|uk|britannique|indie rock|instrumental rock|experimental rock|classic pop and rock|the lost generation
Waveshaper,73,0.20,electronic|pop|dubstep|dance|house|electronica|breakbeat|breaks|indie dance|edm|chillwave|synthwave|vaporwave
TesseracT,73,3.30,daniel tomkins|progressive metal|acle kahny|rock and indie|metal|math metal|djent|mathcore|technical metal|hard rock|progressive rock|rock
Bassnectar,73,0.00,filthstep|electronic|dubstep|breakbeat|post-dubstep|brostep
Little Tybee,72,4.20,folk|folk rock|indie|neo soul|indie folk|indie rock
Pull Down The Sun,72,6.00,progressive metal|doom metal|groove metal|sludge metal|post-metal
The Midnight,71,0.00,synthwave|synthpop|dreamwave|progressive house|electronic|retrowave
Sleep Token,70,5.60,rock|post-rock|alternative rock|progressive rock|progressive metal|metal|alternative metal|alternative pop|post-metal|djent|art pop|alternative r&b|2020s|progressive rock. progressive metal
The Bad Plus,70,0.40,jazz and blues|jazz|post-bop
Marcin,70,3.40,polish|video game music|video game|soundtrack|game|score|composer|vgm
Apogean,70,5.00,melodic death metal|metal|death metal|technical death metal
Moon Tooth,70,4.60,stoner rock|rock|progressive metal|experimental|alternative metal|hard rock|metal|progressive rock
Creedence Clearwater Revival,69,0.00,rock|american|60s|usa|rockabilly|folk rock|melodic|blues rock|country rock|southern rock|classic rock|soft rock|rock and roll|roots rock|swamp rock|california|classic pop and rock|united states|energetic|warm|rock & roll|60's|rhythmic
AC/DC,69,0.00,rock|heavy metal|metal|australian|band|hard rock|relaxed|blues rock|glam rock|classic rock|1980s|1970s|arena rock|rock and roll|english|australia|blues-rock|classic pop and rock|australie|australien|best|best rock|australian rock|capa|rock & roll|want to listen|volts|hard & heavy|+australia (sydney)|not acoustic|not sad|not electronic|not happy|not aggressive|not party
Changeling,68,7.10,ambient|progressive metal|death metal|black metal|drone
Kupla,68,0.00,lo-fi hip hop|hip hop|chillwave|boom bap|downtempo|instrumental hip hop|lo-fi|instrumental
Jason Richardson,68,0.60,instrumental|djent|progressive metal
Aborted,67,3.80,metal|death metal|grindcore|brutal death metal|deathcore|goregrind|death-metal
Cytotoxin,66,4.20,death metal|technical death metal|brutal death metal
The Contortionist,66,2.60,progressive metal|experimental|progressive|deathcore|progressive deathcore
Ulcerate,65,7.80,technical prog metal|brutal death metal|dissonant death metal|atmospheric sludge metal|technical brutal death metal|death metal|technical death metal
Michal Menert,65,0.00,trip hop|nu jazz|electronica|hip hop|soul
Floating Points,64,1.00,tech house|microhouse|progressive house|electronica|dubstep|electronic|post-dubstep
The White Stripes,64,0.00,punk blues|garage punk|garage rock|rock|garage rock revival|detroit|2000's|rock and indie|american|blues rock|hard rock|acoustic rock|indie rock|alternative rock
Neon Indian,64,0.00,electronic|texas|denton
Vale of Pnath,63,4.10,deathcore|technical death metal|death metal|melodic death metal|technical deathcore
The Daily,63,7.60,Unknown
Sallow Moth,62,5.40,death metal
I Built The Sky,62,1.10,Unknown
Blood Incantation,61,6.60,electronic|instrumental|ambient|progressive metal|metal|death metal|usa|cosmic|technical death metal|progressive death metal|dark ambient|space|english|old school death metal|colorado|progressive electronic|atmospheric|united states|sci-fi|berlin school|atmospheric death metal|space ambient|mysticism|osdm|cosmic death metal
August Burns Red,61,3.80,metal|metalcore|christian|alternative metal|melodic metalcore
The Dillinger Escape Plan,61,1.40,hardcore|metal|metalcore|experimental|seen live|math|mathcore|rock and indie|jazzmetal
Replicant,61,4.80,dissonant death metal|technical death metal|death metal
Flying Lotus,61,0.40,electronic|downtempo|instrumental|jazz|hip hop|hiphop|psychedelic|trip hop|nu jazz|warp|beats|hip hop rnb and dance hall|alternative hip hop|experimental hip hop|beatgen|wonky|jazztronica|instrumental hip hop|psychedelic hip hop
Humanity’s Last Breath,61,4.00,progressive metal|deathcore|djent|technical deathcore
Sia,61,0.10,electropop|downtempo|chamber pop|indie pop|acid jazz|dance-pop|pop|pop and chart|english|australian|australian pop|alternative pop|art pop|mbs-333|trainwreck
Blotted Science,61,1.20,instrumental|progressive metal|metal|instrumental rock|technical death metal|progressive death metal
Slugdge,60,6.60,death metal|blackened death metal|progressive metal|metal|sludge metal
The Raconteurs,60,0.00,rock|alternative rock|american|hard rock|indie rock|blues rock|garage rock revival|rock and indie
Jinjer,60,1.90,hardcore|heavy metal|progressive metal|metal|metalcore|groove metal|progressive metalcore
Delta Sleep,59,3.50,progressive rock|math rock|indie rock|dream pop|midwest emo|math pop
Cyborg Octopus,59,4.20,progressive metal
Crown of Madness,59,3.50,Unknown
David Bowie,59,0.80,rock|electronic|pop|alternative rock|80s|experimental|british|singer-songwriter|new wave|uk|britannique|funk|alternative|soul|glam rock|art rock|classic rock|psychedelic pop|experimental rock|pop rock|blue-eyed soul|english|rock music|composers|classic pop and rock|singers|actors|post-disco|death by liver cancer|pop/rock|art pop|avant-garde pop|server name|killed by 2016!|permanent wave|aln-sh|rock musicians|arrangers|sound recording executives and producers|glam rock music|glam rock musicians
Miike Snow,59,0.00,indietronica|indie pop
The Callous Daoboys,58,4.20,experimental|metalcore|post-hardcore|mathcore
Wretched,58,4.80,milan|italy|punk
Ihsahn,57,4.30,progressive metal|metal|black metal|art rock|symphonic metal|avant-garde metal|avant-garde|progressive black metal|technical prog metal
Anciients,57,5.90,extreme progressive metal|sludge metal|metal|progressive metal
Zedd,57,0.00,electronic|pop|dubstep|dance|house|deep house|electropop|dance-pop|progressive house|club|electro house|edm|house music|complextro|future bass|bass house|festival progressive house
Gorod,57,4.40,progressive metal|metal|death metal|technical death metal|progressive death metal
The Human Abstract,57,3.90,technical prog metal|mathcore|metalcore|metal|technical metal|screaming|progressive metal|progressive metalcore
Heaven Shall Burn,57,3.90,hardcore|melodic death metal|german|metalcore|death metal|deathcore|melodic metalcore
Soreption,56,3.60,progressive death metal|metal|technical death metal|death metal
Linkin Park,56,1.20,rock|alternative rock|industrial rock|metal|american|hip hop|usa|nu metal|electropop|new metal|américain|art rock|alternative metal|pop rock|rapcore|rap metal|rap rock|alt rock|nu-metal|rock and indie|united states|electronic rock|roxette|the greatest
Lord Huron,56,3.20,indie folk|nuno|indie rock
The Algorithm,56,0.80,electronic|progressive metal|experimental|mathcore|djent
Voyager,55,3.80,progressive metal|metal|australia|eurovision 2023 artists
MØ,55,0.00,electropop|synth-pop|indie pop|dance-pop
The Chemical Brothers,55,0.00,trip-hop|electronic|big beat|house|british|uk|techno|electronica|breakbeat|tech house|neo-psychedelia|alternative dance|progressive house|english|trip hop|england|manchester|united kingdom|dance and electronica
Ok Goodnight,54,3.50,progressive metal|progressive rock
The Notorious B.I.G.,54,0.00,hardcore hip hop|rap|hip hop rnb and dance hall|hip hop|gangsta rap|death by murder|east coast hip hop|boom bap
Aquilus,54,7.80,neoclassical black metal|modern classical|symphonic black metal|atmospheric black metal|black metal
Bruno Mars,54,0.10,pop|2010s|relic inn|soul|rock|music for soccer moms|synth funk|pop soul|contemporary r&b|a filk artist|new wave|pop rock|r&b|funk
Sensory Amusia,54,3.70,Unknown
Owane,54,0.30,fusion jazz|progressive metal|jazz fusion|progressive rock|instrumental|pop|alternative
Equipoise,54,3.90,technical death metal|death metal
Despised Icon,54,3.20,metal|metalcore|death metal|canadian|grindcore|deathcore|sucky
Royal Blood,54,0.00,rock|alternative rock|stoner rock|grunge|hard rock|indie rock|blues rock|garage rock|punk blues
Venetian Snares,53,1.20,electronic|breakcore|orchestral|experimental|canadian|idm|electronica|gabber|drill n bass|glitchcore|dance and electronica|hardcore breaks|flashcore
Woodkid,53,0.00,electronic|pop|french|folk|electronica|alternative|indie pop|indie dance|chamber pop|indie electronic|singer/songwriter|alternative/indie rock|art pop
The Dive - A League of Legends Esports Podcast,53,0.00,Unknown
Vintage Trouble,53,0.00,pop|blues rock|rhythm and blues|funk|soul|rock and roll|hard rock|blues
BADBADNOTGOOD,52,0.10,hip hop|instrumental hip hop
Mendel,52,2.50,progressive metal
Mestís,52,2.50,progressive|jazz|progressive metal|progressive rock|fusion
Magic Sword,52,0.70,electronic|retrowave|hotline miami 2|synthwave
The Omnific,52,0.10,progressive metal|instrumental|djent
The Flaming Lips,51,0.00,rock|pop|alternative rock|indie rock|psychedelic rock|psychedelic pop|experimental rock|noise pop|space rock|neo-psychedelia|noise rock|rock music|rock and indie|progressive pop|weird america|psychedelic rock music
Stortregn,51,4.70,melodic death metal|progressive metal|death metal|black metal|melodic black metal|technical death metal|blackened death metal|black/death-metal
Opiuo,51,0.00,neurofunk|glitch hop|future bass
OWDWYR,51,1.60,technical death metal
Pronostic,51,3.30,Unknown
Spawn of Possession,50,3.40,technical death metal
Whitechapel,50,3.30,progressive metal|metal|american|christian|alternative metal|deathcore|jesus mary chain|corruption|anti-religion|inner struggles|whitechapel murders
Hideous Divinity,50,4.20,brutal death metal|death metal|technical death metal
Moron Police,50,2.80,Unknown
Trampled by Turtles,50,1.50,bluegrass|folk rock|progressive folk|progressive bluegrass
Jack,50,0.30,pop|germany|german|dance|electro|techno|schlager|eurodance|dance-pop|europop|german pop|edm|euro house|bubblegum dance
Angel Vivaldi,49,0.70,Unknown
Gorguts,49,4.50,progressive metal|metal|death metal|technical death metal|avant-garde metal|progressive death metal|brutal death metal|avant-garde death metal|dissonant death metal
Ominous Ruin,49,3.50,brutal death metal|sadism|human behaviour|misanthropy|cosmology|technical death metal|death metal
Rage Against the Machine,49,0.10,political|rock|alternative rock|metal|american|nu metal|alternative metal|rapcore|funk metal|rap metal|rap rock|rock and indie|best of|angry|hard alternative
Andy Gillion,48,2.00,instrumental|metal|death metal|melodic death metal
Synaptic,48,3.60,technical death metal|progressive death metal
Monuments,48,0.00,djent|math metal|progressive math metal|progressive metal|progressive metalcore|metalcore
Danger,48,0.00,alternative rock|grunge|hard rock|post-grunge|alternative metal|glam metal|estados unidos
Dream Theater,48,1.30,progressive rock|heavy metal|progressive metal|thrash metal|metal|american|hard rock|prog metal|progressive|art rock|album rock|neo-progressive rock|rock opera|progressive-metal|progressive power metal|estados unidos
Duke Ellington,48,1.80,jazz|swing|big band|newport|death by pneumonia|death by lung cancer|duke box|2008 universal fire victim
Lamb of God,48,3.30,political|metal|metalcore|american|usa|groove metal|virginia|rock and indie|united states|angry|aggressive|rhythmic
Fleetwood Mac,48,0.00,rock|pop|american|blues|british|band|folk rock|psychedelic rock|blues rock|jam band|classic rock|soft rock|acoustic rock|pop rock|electric blues|british blues|english|rock music|classic pop and rock|pop/rock|art pop|fleetwood mac|british-american
Atheist,47,3.00,progressive metal|metal|death metal|technical death metal|jazz metal|progressive death metal|estados unidos
The Devil Makes Three,47,0.00,folk|bluegrass
The Go! Team,47,0.00,indie pop|indie rock|sampledelia|rock and indie|hip hop|brighton|britannique|under rated|awesome|english|old school hip-hop|samples|hip-hop|indie|british|uk|dance|electronic
